obs_mean,obs_up,obs_down,j,f,m,t,b,i
1.00014656956519,0.998627419130673,0.997108268696155,1.00014656956519,0.998627419130673,0.998627419130673,0.998627419130673,0.995589118261637,1.00014656956519
0.470874558178978,0.610636398154672,0.323213135943789,0.632512164411737,0.588760631897607,0.359368916285327,0.538324837471596,0.492750324436043,0.521006522518086
0.484850742176548,0.621574281283204,0.349950183591313,0.54774357016561,0.560504433815564,0.398562997495902,0.531944405646618,0.45203709279095,0.494269474870562
0.46935540774446,0.627954713108182,0.310452272293834,0.571442316944097,0.539843987906114,0.368787648979341,0.519487372083567,0.439276229140995,0.476951159917052
0.458113694529024,0.620055130848686,0.291614806905806,0.527386954343063,0.539843987906114,0.35298848446035,0.507030338520516,0.409500880624435,0.467532427223038
0.461455825484964,0.627954713108182,0.287057355602251,0.535286536602559,0.524348653474026,0.354507634894868,0.507030338520516,0.371825949848378,0.466013276788519
0.46935540774446,0.641930897105751,0.290095656471288,0.5304252552121,0.51310694025859,0.403120448799457,0.514929920780012,0.418919613318449,0.46935540774446
0.489712023567007,0.675048376578252,0.304375670555761,0.522525672952604,0.51310694025859,0.31835185455333,0.514929920780012,0.433199627402922,0.461455825484964
0.497611605826502,0.685986259706785,0.299514389165302,0.524348653474026,0.519487372083567,0.33567016950684,0.531944405646618,0.41740046288393,0.46935540774446
0.467532427223038,0.649830479365247,0.274296491952296,0.508549488955035,0.522525672952604,0.345088902200854,0.524348653474026,0.392182565670925,0.472393708613497
0.483331591742029,0.690847541097244,0.274296491952296,0.535286536602559,0.527386954343063,0.398562997495902,0.525867803908545,0.411020031058953,0.476951159917052
0.516449071214531,0.730041622307819,0.296476088296265,0.519487372083567,0.524348653474026,0.406462579755398,0.525867803908545,0.425300045143426,0.46935540774446
0.521006522518086,0.731560772742337,0.302552690034338,0.539843987906114,0.54774357016561,0.415881312449412,0.505511188085998,0.445656660965973,0.483331591742029
