,0.0,15.0,30.0,45.0,60.0,75.0,90.0,105.0,120.0,135.0,150.0,165.0,180.0,195.0,210.0,225.0,240.0,255.0,270.0,285.0,300.0,315.0,330.0,345.0
4.5,0.002107,0.00181,0.001654,0.001684,0.001772,0.001754,0.0019,0.002062,0.001971,0.001932,0.00188,0.00197,0.002199,0.002476,0.002756,0.003014,0.003192,0.003244,0.003235,0.003232,0.003223,0.003157,0.002998,0.002701
5.5,0.002313,0.00201,0.001851,0.001886,0.001983,0.001993,0.002235,0.002595,0.002602,0.002496,0.002342,0.002467,0.002796,0.00313,0.003437,0.003726,0.003914,0.003927,0.003873,0.003861,0.003847,0.003744,0.003508,0.003085
6.5,0.002382,0.0021,0.001942,0.001963,0.002045,0.002099,0.002451,0.003038,0.003186,0.002997,0.002721,0.00288,0.003314,0.003699,0.00402,0.004324,0.004503,0.004462,0.004358,0.00434,0.004326,0.004185,0.003866,0.003314
7.5,0.002323,0.002085,0.001932,0.001918,0.001963,0.002071,0.002536,0.003348,0.003667,0.003388,0.002984,0.003175,0.003709,0.004139,0.004463,0.004765,0.004919,0.004816,0.004662,0.004644,0.004634,0.004456,0.004057,0.003386
8.5,0.002161,0.00198,0.001833,0.00177,0.001765,0.001927,0.00249,0.0035,0.003996,0.003634,0.003112,0.003329,0.003949,0.004418,0.004739,0.005024,0.005138,0.004971,0.004773,0.004762,0.004762,0.004552,0.004082,0.003309
9.5,0.001923,0.001804,0.001665,0.00155,0.001492,0.001697,0.002331,0.003486,0.004144,0.003713,0.0031,0.003334,0.004018,0.004519,0.004834,0.00509,0.005154,0.004928,0.004698,0.0047,0.004713,0.00448,0.003953,0.003108
10.5,0.001643,0.001583,0.001452,0.00129,0.001189,0.001417,0.002085,0.003314,0.0041,0.003625,0.002956,0.003197,0.003917,0.004441,0.004751,0.004971,0.00498,0.004707,0.004457,0.004477,0.004507,0.004261,0.003696,0.002812
11.5,0.001349,0.001339,0.001218,0.001023,0.000893,0.001125,0.001785,0.003014,0.003874,0.003386,0.002705,0.002942,0.003665,0.004203,0.004509,0.004688,0.004644,0.00434,0.004085,0.004124,0.004172,0.003923,0.003343,0.002457
12.5,0.001067,0.001095,0.000985,0.000773,0.000634,0.000849,0.001465,0.002624,0.003499,0.003029,0.002376,0.002599,0.003294,0.003833,0.004136,0.004275,0.004186,0.003866,0.003621,0.00368,0.003744,0.003501,0.002929,0.002075
13.5,0.000814,0.000866,0.000768,0.000558,0.000424,0.000609,0.001153,0.002188,0.003021,0.002595,0.002005,0.002207,0.002847,0.003372,0.003671,0.003773,0.003648,0.003332,0.003108,0.003183,0.003261,0.003033,0.002489,0.001695
14.5,0.000599,0.000662,0.000578,0.000384,0.000268,0.000417,0.00087,0.001747,0.002493,0.00213,0.001626,0.001801,0.002365,0.002863,0.003154,0.003225,0.003078,0.00278,0.002585,0.002671,0.002758,0.002552,0.002052,0.001342
15.5,0.000425,0.000491,0.00042,0.000252,0.00016,0.000271,0.00063,0.001335,0.001964,0.001674,0.001267,0.001413,0.001889,0.002345,0.002624,0.00267,0.002513,0.002246,0.002083,0.002175,0.002267,0.002087,0.001643,0.001029
16.5,0.000292,0.000352,0.000295,0.000159,9e-05,0.000168,0.000438,0.000977,0.001478,0.001259,0.000949,0.001065,0.001451,0.001854,0.002114,0.002142,0.001987,0.001757,0.001628,0.00172,0.001811,0.001659,0.001278,0.000765
17.5,0.000193,0.000245,0.0002,9.5e-05,4.8e-05,9.9e-05,0.000292,0.000684,0.00106,0.000906,0.000682,0.000771,0.001071,0.001415,0.00165,0.001665,0.001522,0.001332,0.001233,0.001321,0.001406,0.001282,0.000966,0.000552
18.5,0.000124,0.000166,0.000131,5.4e-05,2.4e-05,5.6e-05,0.000187,0.000458,0.000724,0.000623,0.000471,0.000536,0.000759,0.001041,0.001247,0.001254,0.001128,0.000978,0.000906,0.000986,0.001062,0.000964,0.000709,0.000386
19.5,7.7e-05,0.000108,8.3e-05,3e-05,1.1e-05,3e-05,0.000115,0.000293,0.000471,0.000409,0.000312,0.000358,0.000516,0.000739,0.000913,0.000915,0.00081,0.000695,0.000646,0.000714,0.00078,0.000705,0.000506,0.000262
20.5,4.6e-05,6.9e-05,5.1e-05,1.6e-05,5e-06,1.5e-05,6.8e-05,0.000179,0.000291,0.000256,0.000199,0.000229,0.000337,0.000505,0.000647,0.000647,0.000563,0.000479,0.000446,0.000503,0.000557,0.000502,0.000352,0.000172
21.5,2.7e-05,4.2e-05,3e-05,8e-06,2e-06,7e-06,3.8e-05,0.000104,0.000171,0.000153,0.000121,0.000141,0.000211,0.000333,0.000443,0.000443,0.000379,0.00032,0.000299,0.000344,0.000387,0.000347,0.000237,0.00011
22.5,1.5e-05,2.5e-05,1.7e-05,4e-06,1e-06,3e-06,2.1e-05,5.8e-05,9.5e-05,8.7e-05,7.1e-05,8.3e-05,0.000127,0.000211,0.000294,0.000293,0.000247,0.000206,0.000195,0.000228,0.000262,0.000234,0.000156,6.8e-05
23.5,8e-06,1.5e-05,1e-05,2e-06,0.0,1e-06,1.1e-05,3.1e-05,5e-05,4.7e-05,4e-05,4.7e-05,7.3e-05,0.000129,0.000189,0.000188,0.000155,0.000129,0.000123,0.000147,0.000172,0.000153,9.9e-05,4.1e-05
24.5,4e-06,8e-06,5e-06,1e-06,0.0,1e-06,5e-06,1.5e-05,2.5e-05,2.4e-05,2.1e-05,2.5e-05,4e-05,7.6e-05,0.000117,0.000117,9.5e-05,7.8e-05,7.5e-05,9.2e-05,0.00011,9.8e-05,6.2e-05,2.4e-05
